Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Soil_Type,Season,Water_Usage(cubic meters),Temperature(°C),Humidity(%),Yield(tons),Nutrient_Content,Rainfall(mm),Sunlight_Hours,Soil_pH,Soil_Moisture_Level
248,Wheat,16,Sprinkler,Loamy,Monsoon,2199,26.0,96,14.9,146.67,737.26,14.97,7.48,78.67
249,Barley,13,Drip,Loamy,Summer,2625,33.5,36,12.5,146.36,616.25,10.02,8.05,86.12
250,Corn,14,Sprinkler,Clay,Winter,1913,31.2,81,12.4,135.3,817.85,10.95,8.1,67.83
251,Wheat,48,Sprinkler,Loamy,Monsoon,1453,23.4,43,14.5,79.44,616.13,5.67,7.63,54.8
252,Barley,21,Surface,Sandy,Summer,1036,35.9,44,7.0,88.51,881.75,12.5,8.01,63.25
253,Barley,42,Surface,Sandy,Monsoon,4387,26.7,50,10.7,135.11,641.53,7.1,7.59,80.82
254,Corn,11,Surface,Loamy,Winter,2711,26.2,64,14.8,81.69,648.75,13.98,7.54,59.94
255,Wheat,17,Surface,Clay,Summer,4020,11.0,95,6.7,66.95,901.32,7.05,7.36,22.13
256,Corn,44,Surface,Sandy,Winter,1795,39.6,31,12.0,105.68,522.79,6.91,7.76,85.17
257,Wheat,46,Surface,Clay,Winter,1972,13.7,64,10.9,143.62,307.21,5.37,5.98,68.27
258,Soybean,13,Sprinkler,Clay,Summer,1592,16.9,49,10.9,119.6,223.03,9.72,8.14,67.36
259,Rice,31,Surface,Sandy,Summer,2137,11.6,39,12.0,107.01,804.11,10.65,8.12,35.1
260,Rice,6,Surface,Clay,Summer,4111,29.2,54,14.3,59.72,696.25,5.66,5.59,66.12
261,Rice,9,Drip,Sandy,Spring,2324,16.7,95,12.8,111.5,763.26,12.76,7.98,47.57
262,Corn,33,Sprinkler,Clay,Summer,3271,15.4,54,5.6,149.01,370.37,9.53,5.89,65.59
263,Soybean,41,Sprinkler,Sandy,Summer,1317,12.7,83,13.5,64.01,309.1,10.24,6.51,27.46
264,Wheat,42,Sprinkler,Loamy,Summer,3396,13.1,62,7.3,101.83,211.64,9.41,7.73,66.05
265,Barley,23,Surface,Sandy,Summer,3162,27.5,65,8.8,137.74,480.47,9.01,5.98,89.96
266,Wheat,12,Surface,Sandy,Monsoon,3745,30.6,43,9.6,124.08,671.93,10.6,7.95,23.37
267,Barley,49,Surface,Sandy,Spring,2346,21.9,94,9.8,119.7,513.8,6.55,8.0,88.4
268,Wheat,5,Drip,Sandy,Winter,2591,24.4,83,9.4,120.25,549.98,6.82,7.02,48.48
269,Soybean,26,Surface,Clay,Summer,4111,30.6,81,14.4,85.95,923.33,13.62,5.52,80.95
270,Barley,21,Drip,Loamy,Monsoon,2889,10.5,32,12.1,79.36,478.6,14.46,6.36,74.77
271,Corn,11,Sprinkler,Sandy,Monsoon,3087,19.7,70,11.3,130.94,611.19,8.73,7.35,59.69
272,Wheat,29,Surface,Clay,Monsoon,4930,39.2,35,5.5,131.01,826.92,7.71,8.44,71.69
273,Wheat,49,Drip,Loamy,Winter,2996,27.4,54,14.0,136.71,517.23,11.44,7.4,81.5
274,Barley,8,Drip,Loamy,Summer,2772,17.6,42,14.1,141.32,697.67,9.09,6.28,48.29
275,Corn,40,Surface,Loamy,Spring,2312,25.7,37,12.8,101.13,889.89,5.25,7.4,42.89
276,Corn,10,Sprinkler,Loamy,Spring,2285,20.3,50,5.1,100.15,959.62,6.56,7.12,66.73
277,Soybean,35,Sprinkler,Sandy,Monsoon,1215,26.0,97,5.6,129.83,317.66,12.16,7.84,76.55
278,Corn,23,Sprinkler,Sandy,Winter,4218,13.8,54,7.3,115.0,941.27,11.59,5.82,73.36
279,Corn,48,Drip,Clay,Winter,3383,14.0,97,6.3,120.2,593.69,5.27,7.78,75.85
280,Corn,43,Drip,Clay,Winter,4239,14.3,74,9.0,129.58,406.6,7.22,7.12,50.49
281,Rice,31,Drip,Clay,Spring,3139,38.2,89,14.2,139.0,567.31,7.31,8.39,77.25
282,Soybean,14,Drip,Loamy,Monsoon,3400,32.0,41,9.7,83.8,984.03,11.72,6.53,28.41
283,Wheat,30,Sprinkler,Loamy,Summer,3618,14.9,61,5.1,87.56,594.09,5.2,7.4,58.11
284,Barley,23,Surface,Sandy,Spring,4642,15.7,42,7.8,59.4,463.0,6.04,8.3,20.4
285,Wheat,43,Drip,Loamy,Monsoon,3863,31.9,60,5.4,107.83,706.72,13.0,5.81,42.72
286,Soybean,7,Drip,Loamy,Monsoon,2704,14.7,49,5.4,53.59,392.12,6.79,8.31,45.65
287,Barley,49,Sprinkler,Loamy,Summer,3828,17.0,47,7.8,96.56,260.69,11.53,7.56,47.73
288,Soybean,17,Surface,Clay,Summer,1362,38.9,89,7.8,104.26,303.1,7.38,5.7,68.68
289,Corn,32,Surface,Clay,Summer,3604,17.7,92,12.9,78.65,302.44,5.99,6.4,47.2
290,Barley,24,Sprinkler,Sandy,Winter,4416,29.8,35,14.7,109.08,321.52,7.43,7.62,51.41
291,Corn,32,Sprinkler,Loamy,Summer,2716,39.4,61,8.7,53.05,311.06,12.22,5.7,36.63
292,Wheat,12,Surface,Loamy,Monsoon,2193,21.2,72,9.3,53.73,712.7,13.56,7.25,46.13
293,Wheat,45,Drip,Sandy,Summer,1355,10.5,31,13.4,132.26,345.5,13.3,6.54,35.91
294,Barley,43,Surface,Loamy,Monsoon,1190,17.3,89,7.7,86.02,476.53,8.97,7.36,25.12
295,Barley,5,Sprinkler,Loamy,Spring,4738,34.9,52,6.6,62.71,917.43,11.68,5.64,62.24
296,Soybean,7,Drip,Clay,Winter,3469,35.9,60,13.5,102.22,579.17,7.05,8.11,66.77
297,Soybean,17,Drip,Sandy,Spring,1699,33.1,34,5.5,127.0,734.05,7.93,8.42,63.36
298,Corn,32,Sprinkler,Sandy,Spring,3054,13.4,63,11.2,71.58,337.86,13.96,8.41,52.44
299,Barley,29,Sprinkler,Sandy,Monsoon,3180,33.9,39,10.6,112.29,353.83,5.13,7.75,46.59
300,Wheat,37,Sprinkler,Sandy,Spring,4818,37.6,31,8.5,58.53,232.69,5.86,5.89,80.43
